"Date","Team","Opp","GS","W","L","SV","BS","HLD","IP","TBF","H","R","ER","HR","BB","SO","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP"
"<a href=""wins.aspx?date=2050-01-01&team=total&dh=0"">2050-01-01</a>","- - -","- - -","33","16","7","0","0","0","232.2","890","163","62","55","15","42","301","11.64","1.62","0.58",".281","78.3 %","50.0 %","10.1 %","2.13","1.99","2.09"
"<a href=""wins.aspx?date=2015-10-04&team=Dodgers&dh=0"">2015-10-04</a>","LAD","SDP","1","0","0","0","0","0","3.2","13","2","0","0","0","0","7","17.18","0.00","0.00",".333","100.0 %","50.0 %","0.0 %","0.00","-0.68","-0.28"
"<a href=""wins.aspx?date=2015-09-29&team=Dodgers&dh=0"">2015-09-29</a>","LAD","@SFG","1","1","0","0","0","0","9.0","29","1","0","0","0","1","13","13.00","1.00","0.00",".067","100.0 %","26.7 %","0.0 %","0.00","0.58","1.56"
"<a href=""wins.aspx?date=2015-09-24&team=Dodgers&dh=0"">2015-09-24</a>","LAD","ARI","1","1","0","0","0","0","5.0","22","6","3","3","1","1","9","16.20","1.80","1.80",".455","71.4 %","8.3 %","16.7 %","5.40","2.73","1.91"
"<a href=""wins.aspx?date=2015-09-19&team=Dodgers&dh=0"">2015-09-19</a>","LAD","PIT","1","0","1","0","0","0","7.0","28","7","3","3","0","2","8","10.29","2.57","0.00",".389","66.7 %","52.9 %","0.0 %","3.86","1.71","2.34"
"<a href=""wins.aspx?date=2015-09-14&team=Dodgers&dh=0"">2015-09-14</a>","LAD","COL","1","1","0","0","0","0","7.0","25","3","1","1","0","2","5","6.43","2.57","0.00",".167","80.0 %","55.6 %","0.0 %","1.29","2.56","3.62"
"<a href=""wins.aspx?date=2015-09-08&team=Dodgers&dh=0"">2015-09-08</a>","LAD","@LAA","1","1","0","0","0","0","7.0","28","4","2","1","1","2","8","10.29","2.57","1.29",".176","87.0 %","55.6 %","14.3 %","1.29","3.56","3.18"
"<a href=""wins.aspx?date=2015-09-02&team=Dodgers&dh=0"">2015-09-02</a>","LAD","SFG","1","1","0","0","0","0","9.0","32","6","1","1","0","1","15","15.00","1.00","0.00",".375","85.7 %","28.6 %","0.0 %","1.00","0.13","0.95"
"<a href=""wins.aspx?date=2015-08-28&team=Dodgers&dh=0"">2015-08-28</a>","LAD","CHC","1","1","0","0","0","0","8.0","28","3","1","1","1","1","14","15.75","1.13","1.13",".167","100.0 %","38.5 %","14.3 %","1.13","1.63","1.30"
"<a href=""wins.aspx?date=2015-08-23&team=Dodgers&dh=0"">2015-08-23</a>","LAD","@HOU","1","0","0","0","0","0","8.0","29","7","1","1","0","0","10","11.25","0.00","0.00",".368","85.7 %","47.4 %","0.0 %","1.13","0.63","1.74"
"<a href=""wins.aspx?date=2015-08-18&team=Dodgers&dh=0"">2015-08-18</a>","LAD","@OAK","1","0","0","0","0","0","7.0","29","5","1","1","0","2","7","9.00","2.57","0.00",".250","85.7 %","52.6 %","0.0 %","1.29","1.99","2.83"
"<a href=""wins.aspx?date=2015-08-12&team=Dodgers&dh=0"">2015-08-12</a>","LAD","WSN","1","1","0","0","0","0","8.0","27","3","0","0","0","0","8","9.00","0.00","0.00",".158","100.0 %","63.2 %","0.0 %","0.00","1.13","2.06"
"<a href=""wins.aspx?date=2015-08-07&team=Dodgers&dh=0"">2015-08-07</a>","LAD","@PIT","1","0","0","0","0","0","6.0","28","9","4","4","1","2","5","7.50","3.00","1.50",".421","75.5 %","50.0 %","25.0 %","6.00","5.13","3.95"
"<a href=""wins.aspx?date=2015-08-01&team=Dodgers&dh=0"">2015-08-01</a>","LAD","LAA","1","1","0","0","0","0","8.0","26","2","0","0","0","1","7","7.88","1.13","0.00",".111","100.0 %","47.1 %","0.0 %","0.00","1.76","3.42"
