"Date","Team","Opp","GS","W","L","SV","BS","HLD","IP","TBF","H","R","ER","HR","BB","SO","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP"
"<a href=""wins.aspx?date=2050-01-01&team=total&dh=0"">2050-01-01</a>","- - -","- - -","32","18","5","0","0","0","220.1","888","190","70","60","17","47","225","9.19","1.92","0.69",".290","78.6 %","40.4 %","7.8 %","2.45","2.78","3.24"
"<a href=""wins.aspx?date=2015-09-26&team=Blue Jays&dh=0"">2015-09-26</a>","TOR","TBR","1","1","0","0","0","0","5.0","22","6","5","4","1","1","6","10.80","1.80","1.80",".357","35.7 %","13.3 %","12.5 %","7.20","3.93","3.70"
"<a href=""wins.aspx?date=2015-09-21&team=Blue Jays&dh=0"">2015-09-21</a>","TOR","NYY","1","1","0","0","0","0","7.0","25","2","0","0","0","1","7","9.00","1.29","0.00",".118","100.0 %","41.2 %","0.0 %","0.00","1.56","2.83"
"<a href=""wins.aspx?date=2015-09-16&team=Blue Jays&dh=0"">2015-09-16</a>","TOR","@ATL","1","1","0","0","0","0","7.0","29","6","1","1","0","3","9","11.57","3.86","0.00",".353","88.9 %","52.9 %","0.0 %","1.29","1.85","2.27"
"<a href=""wins.aspx?date=2015-09-11&team=Blue Jays&dh=0"">2015-09-11</a>","TOR","@NYY","1","1","0","0","0","0","5.0","22","6","2","2","0","1","7","12.60","1.80","0.00",".429","71.4 %","50.0 %","0.0 %","3.60","0.93","1.23"
"<a href=""wins.aspx?date=2015-09-05&team=Blue Jays&dh=0"">2015-09-05</a>","TOR","BAL","1","1","0","0","0","0","7.0","27","3","1","1","0","4","8","10.29","5.14","0.00",".200","85.7 %","46.7 %","0.0 %","1.29","2.56","3.41"
"<a href=""wins.aspx?date=2015-08-31&team=Blue Jays&dh=0"">2015-08-31</a>","TOR","CLE","1","0","1","0","0","0","7.0","27","6","3","3","0","1","9","11.57","1.29","0.00",".353","57.1 %","56.3 %","0.0 %","3.86","0.99","2.05"
"<a href=""wins.aspx?date=2015-08-26&team=Blue Jays&dh=0"">2015-08-26</a>","TOR","@TEX","1","1","0","0","0","0","6.0","24","5","2","2","1","1","8","12.00","1.50","1.50",".286","87.0 %","53.3 %","33.3 %","3.00","3.13","1.71"
"<a href=""wins.aspx?date=2015-08-21&team=Blue Jays&dh=0"">2015-08-21</a>","TOR","@LAA","1","1","0","0","0","0","8.0","31","6","2","2","1","1","9","10.13","1.13","1.13",".250","89.3 %","42.9 %","8.3 %","2.25","2.88","3.47"
"<a href=""wins.aspx?date=2015-08-14&team=Blue Jays&dh=0"">2015-08-14</a>","TOR","NYY","1","0","0","0","0","0","7.1","33","11","3","3","0","0","6","7.36","0.00","0.00",".407","72.7 %","29.6 %","0.0 %","3.68","1.50","4.11"
"<a href=""wins.aspx?date=2015-08-08&team=Blue Jays&dh=0"">2015-08-08</a>","TOR","@NYY","1","1","0","0","0","0","7.0","27","3","0","0","0","3","7","9.00","3.86","0.00",".176","100.0 %","41.2 %","0.0 %","0.00","2.42","3.90"
"<a href=""wins.aspx?date=2015-08-03&team=Blue Jays&dh=0"">2015-08-03</a>","TOR","MIN","1","1","0","0","0","0","8.0","29","3","1","1","1","2","11","12.38","2.25","1.13",".133","100.0 %","46.7 %","12.5 %","1.13","2.76","2.61"
"<a href=""wins.aspx?date=2015-07-28&team=Tigers&dh=0"">2015-07-28</a>","DET","@TBR","1","0","1","0","0","0","6.0","26","7","5","5","2","2","4","6.00","3.00","3.00",".278","64.5 %","40.0 %","20.0 %","7.50","7.13","5.26"
"<a href=""wins.aspx?date=2015-07-23&team=Tigers&dh=0"">2015-07-23</a>","DET","SEA","1","0","0","0","0","0","8.0","29","5","2","2","1","1","7","7.88","1.13","1.13",".200","87.0 %","45.0 %","14.3 %","2.25","3.38","3.05"
"<a href=""wins.aspx?date=2015-07-18&team=Tigers&dh=0"">2015-07-18</a>","DET","BAL","1","0","1","0","0","0","7.0","28","6","1","1","1","1","12","15.43","1.29","1.29",".357","100.0 %","53.3 %","50.0 %","1.29","1.99","0.56"
"<a href=""wins.aspx?date=2015-07-09&team=Tigers&dh=0"">2015-07-09</a>","DET","@MIN","1","1","0","0","0","0","8.0","33","5","2","0","0","3","8","9.00","3.38","0.00",".227","75.0 %","55.0 %","0.0 %","0.00","2.26","3.18"
