"Date","Team","Opp","GS","W","L","SV","BS","HLD","IP","TBF","H","R","ER","HR","BB","SO","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP"
"<a href=""wins.aspx?date=2050-01-01&team=total&dh=0"">2050-01-01</a>","- - -","- - -","32","9","9","0","0","0","180.2","776","156","80","72","29","71","162","8.07","3.54","1.44",".252","79.9 %","29.9 %","10.2 %","3.59","4.77","5.00"
"<a href=""wins.aspx?date=2015-10-03&team=Angels&dh=0"">2015-10-03</a>","LAA","@TEX","1","0","0","0","0","0","4.0","20","5","5","3","1","1","5","11.25","2.25","2.25",".308","21.7 %","28.6 %","14.3 %","6.75","4.63","3.97"
"<a href=""wins.aspx?date=2015-09-28&team=Angels&dh=0"">2015-09-28</a>","LAA","OAK","1","0","0","0","0","0","5.2","24","3","4","3","1","2","4","6.35","3.18","1.59",".133","53.6 %","37.5 %","11.1 %","4.76","6.13","6.18"
"<a href=""wins.aspx?date=2015-09-22&team=Angels&dh=0"">2015-09-22</a>","LAA","@HOU","1","1","0","0","0","0","5.0","24","4","2","2","2","5","4","7.20","9.00","3.60",".154","100.0 %","6.7 %","15.4 %","3.60","9.73","8.37"
"<a href=""wins.aspx?date=2015-09-17&team=Angels&dh=0"">2015-09-17</a>","LAA","@MIN","1","0","0","0","0","0","0.2","8","5","5","5","1","1","1","13.50","13.50","13.50",".800","21.7 %","33.3 %","25.0 %","67.50","24.13","13.49"
"<a href=""wins.aspx?date=2015-09-12&team=Angels&dh=0"">2015-09-12</a>","LAA","HOU","1","0","0","0","0","0","7.0","27","5","2","2","2","2","3","3.86","2.57","2.57",".150","100.0 %","31.8 %","16.7 %","2.57","6.85","5.66"
"<a href=""wins.aspx?date=2015-09-06&team=Angels&dh=0"">2015-09-06</a>","LAA","TEX","1","1","0","0","0","0","6.0","23","1","0","0","0","6","3","4.50","9.00","0.00",".071","100.0 %","14.3 %","0.0 %","0.00","5.13","7.84"
"<a href=""wins.aspx?date=2015-08-31&team=Angels&dh=0"">2015-08-31</a>","LAA","@OAK","1","0","1","0","0","0","2.2","15","4","5","5","0","3","4","13.50","10.13","0.00",".500","28.6 %","37.5 %","0.0 %","16.88","3.51","5.17"
"<a href=""wins.aspx?date=2015-08-26&team=Angels&dh=0"">2015-08-26</a>","LAA","@DET","1","0","1","0","0","0","4.1","23","7","5","5","3","3","3","6.23","6.23","6.23",".286","86.2 %","29.4 %","27.3 %","10.38","12.83","7.57"
"<a href=""wins.aspx?date=2015-08-21&team=Angels&dh=0"">2015-08-21</a>","LAA","TOR","1","0","1","0","0","0","3.2","20","3","4","2","0","4","4","9.82","9.82","0.00",".250","42.9 %","33.3 %","0.0 %","4.91","4.23","6.64"
"<a href=""wins.aspx?date=2015-08-16&team=Angels&dh=0"">2015-08-16</a>","LAA","@KCR","1","0","0","0","0","0","7.0","27","3","2","2","0","3","5","6.43","3.86","0.00",".158","66.7 %","36.8 %","0.0 %","2.57","2.99","4.89"
"<a href=""wins.aspx?date=2015-08-11&team=Angels&dh=0"">2015-08-11</a>","LAA","@CHW","1","0","1","0","0","0","5.1","22","4","3","3","1","1","4","6.75","1.69","1.69",".200","65.2 %","31.3 %","10.0 %","5.06","5.20","5.53"
"<a href=""wins.aspx?date=2015-08-05&team=Angels&dh=0"">2015-08-05</a>","LAA","CLE","1","0","0","0","0","0","6.0","23","5","3","3","2","1","7","10.50","1.50","3.00",".231","93.8 %","13.3 %","18.2 %","4.50","5.63","4.01"
"<a href=""wins.aspx?date=2015-07-31&team=Angels&dh=0"">2015-07-31</a>","LAA","@LAD","1","0","1","0","0","0","5.0","26","9","5","5","2","1","3","5.40","1.80","3.60",".368","73.2 %","33.3 %","22.2 %","9.00","8.33","5.79"
"<a href=""wins.aspx?date=2015-07-25&team=Angels&dh=0"">2015-07-25</a>","LAA","TEX","1","0","0","0","0","0","5.0","25","5","4","3","1","3","4","7.20","5.40","1.80",".250","65.8 %","41.2 %","11.1 %","5.40","6.53","6.59"
"<a href=""wins.aspx?date=2015-07-20&team=Angels&dh=1"">2015-07-20</a>","LAA","BOS","1","1","0","0","0","0","5.0","24","8","1","1","0","1","10","18.00","1.80","0.00",".615","88.9 %","23.1 %","0.0 %","1.80","-0.27","1.21"
"<a href=""wins.aspx?date=2015-07-10&team=Angels&dh=0"">2015-07-10</a>","LAA","@SEA","1","1","0","0","0","0","7.0","28","8","1","1","0","0","7","9.00","0.00","0.00",".381","87.5 %","42.9 %","0.0 %","1.29","1.13","2.40"
"<a href=""wins.aspx?date=2015-07-04&team=Angels&dh=0"">2015-07-04</a>","LAA","@TEX","1","1","0","0","0","0","7.0","26","3","0","0","0","1","3","3.86","1.29","0.00",".136","100.0 %","40.9 %","0.0 %","0.00","2.71","5.02"
"<a href=""wins.aspx?date=2015-06-28&team=Angels&dh=0"">2015-06-28</a>","LAA","SEA","1","0","0","0","0","0","7.0","25","3","1","1","0","2","6","7.71","2.57","0.00",".176","80.0 %","29.4 %","0.0 %","1.29","2.28","4.17"
"<a href=""wins.aspx?date=2015-06-22&team=Angels&dh=0"">2015-06-22</a>","LAA","HOU","1","0","0","0","0","0","6.0","21","2","1","1","1","1","4","6.00","1.50","1.50",".067","100.0 %","25.0 %","11.1 %","1.50","4.47","4.51"
"<a href=""wins.aspx?date=2015-06-17&team=Angels&dh=0"">2015-06-17</a>","LAA","@ARI","1","0","1","0","0","0","5.0","24","7","3","3","2","2","9","16.20","3.60","3.60",".455","96.8 %","25.0 %","28.6 %","5.40","5.93","2.80"
"<a href=""wins.aspx?date=2015-06-12&team=Angels&dh=0"">2015-06-12</a>","LAA","OAK","1","0","0","0","0","0","5.2","25","7","2","2","2","1","6","9.53","1.59","3.18",".313","100.0 %","27.8 %","16.7 %","3.18","6.13","4.67"
"<a href=""wins.aspx?date=2015-06-06&team=Angels&dh=0"">2015-06-06</a>","LAA","@NYY","0","0","0","0","0","0","3.2","14","2","0","0","0","0","3","7.36","0.00","0.00",".200","100.0 %","30.0 %","0.0 %","0.00","2.32","5.13"
"<a href=""wins.aspx?date=2015-06-03&team=Angels&dh=0"">2015-06-03</a>","LAA","TBR","1","0","0","0","0","0","5.0","23","5","5","5","2","2","3","5.40","3.60","3.60",".214","64.5 %","18.8 %","22.2 %","9.00","9.53","6.99"
