"Date","Team","Opp","GS","W","L","SV","BS","HLD","IP","TBF","H","R","ER","HR","BB","SO","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP"
"<a href=""wins.aspx?date=2050-01-01&team=total&dh=0"">2050-01-01</a>","- - -","- - -","28","12","6","0","0","0","172.2","681","111","47","42","10","58","187","9.75","3.02","0.52",".240","79.4 %","45.1 %","7.1 %","2.19","2.73","3.08"
"<a href=""wins.aspx?date=2013-09-11&team=Marlins&dh=0"">2013-09-11</a>","MIA","ATL","1","1","0","0","0","0","7.0","29","5","1","1","1","3","5","6.43","3.86","1.29",".200","100.0 %","38.1 %","8.3 %","1.29","4.76","5.25"
"<a href=""wins.aspx?date=2013-09-06&team=Marlins&dh=0"">2013-09-06</a>","MIA","WSN","1","1","0","0","0","0","7.0","23","1","0","0","0","2","9","11.57","2.57","0.00",".083","100.0 %","50.0 %","0.0 %","0.00","1.33","2.50"
"<a href=""wins.aspx?date=2013-08-30&team=Marlins&dh=0"">2013-08-30</a>","MIA","@ATL","1","0","1","0","0","0","6.0","23","3","2","2","1","2","8","12.00","3.00","1.50",".167","83.3 %","53.8 %","25.0 %","3.00","3.55","2.29"
"<a href=""wins.aspx?date=2013-08-24&team=Marlins&dh=0"">2013-08-24</a>","MIA","COL","1","1","0","0","0","0","7.0","25","4","0","0","0","0","8","10.29","0.00","0.00",".235","100.0 %","47.1 %","0.0 %","0.00","0.76","1.74"
"<a href=""wins.aspx?date=2013-08-19&team=Marlins&dh=0"">2013-08-19</a>","MIA","LAD","1","1","0","0","0","0","6.0","27","4","2","1","0","3","8","12.00","4.50","0.00",".267","75.0 %","50.0 %","0.0 %","1.50","2.38","3.29"
"<a href=""wins.aspx?date=2013-08-13&team=Marlins&dh=0"">2013-08-13</a>","MIA","@KCR","1","0","0","0","0","0","7.0","25","3","0","0","0","1","6","7.71","1.29","0.00",".167","100.0 %","38.9 %","0.0 %","0.00","1.76","2.93"
"<a href=""wins.aspx?date=2013-08-08&team=Marlins&dh=0"">2013-08-08</a>","MIA","@PIT","1","0","0","0","0","0","5.0","23","5","2","2","0","4","5","9.00","7.20","0.00",".357","77.8 %","42.9 %","0.0 %","3.60","3.45","4.27"
"<a href=""wins.aspx?date=2013-08-02&team=Marlins&dh=0"">2013-08-02</a>","MIA","CLE","1","1","0","0","0","0","8.0","28","3","0","0","0","1","14","15.75","1.13","0.00",".231","100.0 %","69.2 %","0.0 %","0.00","-0.08","0.44"
"<a href=""wins.aspx?date=2013-07-28&team=Marlins&dh=0"">2013-07-28</a>","MIA","PIT","1","1","0","0","0","0","8.0","28","5","2","2","0","0","13","14.63","0.00","0.00",".333","60.0 %","53.3 %","0.0 %","2.25","-0.20","0.14"
"<a href=""wins.aspx?date=2013-07-23&team=Marlins&dh=0"">2013-07-23</a>","MIA","@COL","1","1","0","0","0","0","7.0","26","5","2","2","1","2","8","10.29","2.57","1.29",".267","89.3 %","56.3 %","33.3 %","2.57","3.48","2.20"
