"Date","Team","Opp","GS","W","L","SV","BS","HLD","IP","TBF","H","R","ER","HR","BB","SO","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP"
"<a href=""wins.aspx?date=2050-01-01&team=total&dh=0"">2050-01-01</a>","- - -","- - -","10","7","2","0","0","0","65.2","251","47","22","22","13","8","57","7.81","1.10","1.78",".199","90.2 %","37.5 %","15.3 %","3.02","4.43","3.77"
"<a href=""wins.aspx?date=2015-10-02&team=Indians&dh=0"">2015-10-02</a>","CLE","BOS","1","1","0","0","0","0","6.1","25","5","2","2","1","2","5","7.11","2.84","1.42",".235","89.3 %","50.0 %","20.0 %","2.84","4.56","3.67"
"<a href=""wins.aspx?date=2015-09-26&team=Indians&dh=0"">2015-09-26</a>","CLE","@KCR","1","0","0","0","0","0","3.2","18","7","5","5","1","0","0","0.00","0.00","2.45",".353","35.7 %","27.8 %","10.0 %","12.27","6.68","7.16"
"<a href=""wins.aspx?date=2015-09-20&team=Indians&dh=0"">2015-09-20</a>","CLE","CHW","1","1","0","0","0","0","5.2","24","4","0","0","0","3","8","12.71","4.76","0.00",".333","100.0 %","8.3 %","0.0 %","0.00","2.43","4.25"
"<a href=""wins.aspx?date=2015-09-15&team=Indians&dh=0"">2015-09-15</a>","CLE","KCR","1","0","1","0","0","0","9.0","31","4","2","2","1","0","6","6.00","0.00","1.00",".130","83.3 %","58.3 %","11.1 %","2.00","3.58","3.61"
"<a href=""wins.aspx?date=2015-09-09&team=Indians&dh=0"">2015-09-09</a>","CLE","@CHW","1","1","0","0","0","0","5.2","23","5","3","3","3","0","6","9.53","0.00","4.76",".143","100.0 %","35.3 %","30.0 %","4.76","7.90","3.62"
"<a href=""wins.aspx?date=2015-09-04&team=Indians&dh=0"">2015-09-04</a>","CLE","@DET","1","1","0","0","0","0","9.0","32","4","1","1","0","1","6","6.00","1.00","0.00",".160","80.0 %","28.0 %","0.0 %","1.00","2.13","4.27"
"<a href=""wins.aspx?date=2015-08-30&team=Indians&dh=0"">2015-08-30</a>","CLE","LAA","1","1","0","0","0","0","7.0","26","6","2","2","1","0","8","10.29","0.00","1.29",".294","87.0 %","33.3 %","11.1 %","2.57","2.71","2.75"
"<a href=""wins.aspx?date=2015-08-25&team=Indians&dh=0"">2015-08-25</a>","CLE","MIL","1","1","0","0","0","0","6.0","23","5","4","4","3","0","7","10.50","0.00","4.50",".154","100.0 %","31.3 %","42.9 %","6.00","7.30","2.52"
"<a href=""wins.aspx?date=2015-08-20&team=Indians&dh=0"">2015-08-20</a>","CLE","@NYY","1","1","0","0","0","0","7.0","25","2","1","1","1","2","6","7.71","2.57","1.29",".063","100.0 %","35.3 %","12.5 %","1.29","4.13","3.96"
"<a href=""wins.aspx?date=2015-08-15&team=Indians&dh=0"">2015-08-15</a>","CLE","@MIN","1","0","1","0","0","0","6.1","24","5","2","2","2","0","5","7.11","0.00","2.84",".176","100.0 %","52.6 %","28.6 %","2.84","5.66","3.19"
