"Date","Team","Opp","GS","W","L","SV","BS","HLD","IP","TBF","H","R","ER","HR","BB","SO","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP"
"<a href=""wins.aspx?date=2050-01-01&team=total&dh=0"">2050-01-01</a>","- - -","- - -","33","17","9","0","0","0","211.2","878","199","99","92","24","58","190","8.08","2.47","1.02",".291","71.4 %","44.4 %","11.5 %","3.91","3.60","3.57"
"<a href=""wins.aspx?date=2003-09-27&team=Yankees&dh=0"">2003-09-27</a>","NYY","BAL","1","1","0","0","0","0","6.0","23","3","2","2","0","3","3","4.50","4.50","0.00",".176","66.7 %","41.2 %","0.0 %","3.00","3.53","4.99"
"<a href=""wins.aspx?date=2003-09-21&team=Yankees&dh=0"">2003-09-21</a>","NYY","@TBD","1","1","0","0","0","0","7.0","27","4","0","0","0","1","3","3.86","1.29","0.00",".182","100.0 %","54.5 %","0.0 %","0.00","3.03","4.70"
"<a href=""wins.aspx?date=2003-09-16&team=Yankees&dh=0"">2003-09-16</a>","NYY","@BAL","1","1","0","0","0","0","7.0","27","7","3","2","1","0","4","5.14","0.00","1.29",".273","71.4 %","47.8 %","20.0 %","2.57","3.75","2.93"
"<a href=""wins.aspx?date=2003-09-11&team=Yankees&dh=0"">2003-09-11</a>","NYY","DET","1","1","0","0","0","0","6.2","27","7","2","2","0","2","6","8.10","2.70","0.00",".368","77.8 %","42.1 %","0.0 %","2.70","2.13","3.88"
"<a href=""wins.aspx?date=2003-09-06&team=Yankees&dh=0"">2003-09-06</a>","NYY","BOS","1","0","1","0","0","0","3.1","19","7","7","5","2","2","2","5.40","5.40","5.40",".385","32.3 %","26.7 %","40.0 %","13.50","11.43","5.82"
"<a href=""wins.aspx?date=2003-08-31&team=Yankees&dh=0"">2003-08-31</a>","NYY","@BOS","1","1","0","0","0","0","6.2","27","6","4","4","0","2","3","4.05","2.70","0.00",".273","50.0 %","50.0 %","0.0 %","5.40","3.03","4.56"
"<a href=""wins.aspx?date=2003-08-26&team=Yankees&dh=0"">2003-08-26</a>","NYY","CHW","1","0","1","0","0","0","4.2","24","7","9","9","4","4","5","9.64","7.71","7.71",".273","37.0 %","26.7 %","66.7 %","17.36","14.60","5.34"
"<a href=""wins.aspx?date=2003-08-20&team=Yankees&dh=0"">2003-08-20</a>","NYY","KCR","1","1","0","0","0","0","6.1","26","8","3","3","0","0","5","7.11","0.00","0.00",".381","62.5 %","38.1 %","0.0 %","4.26","1.45","2.37"
"<a href=""wins.aspx?date=2003-08-15&team=Yankees&dh=0"">2003-08-15</a>","NYY","@BAL","1","0","0","0","0","0","7.1","29","5","1","1","0","3","5","6.14","3.68","0.00",".238","87.5 %","57.1 %","0.0 %","1.23","2.89","4.49"
"<a href=""wins.aspx?date=2003-08-10&team=Yankees&dh=0"">2003-08-10</a>","NYY","SEA","1","0","0","0","0","0","6.0","27","8","3","3","0","1","6","9.00","1.50","0.00",".400","66.7 %","50.0 %","0.0 %","4.50","1.53","2.50"
"<a href=""wins.aspx?date=2003-08-05&team=Yankees&dh=0"">2003-08-05</a>","NYY","TEX","1","1","0","0","0","0","7.0","27","5","1","1","1","2","4","5.14","2.57","1.29",".200","100.0 %","42.9 %","12.5 %","1.29","4.60","4.41"
"<a href=""wins.aspx?date=2003-07-30&team=Yankees&dh=0"">2003-07-30</a>","NYY","@ANA","1","1","0","0","0","0","9.0","30","5","0","0","0","1","5","5.00","1.00","0.00",".208","100.0 %","34.8 %","0.0 %","0.00","2.25","3.71"
"<a href=""wins.aspx?date=2003-07-24&team=Yankees&dh=0"">2003-07-24</a>","NYY","BAL","1","0","1","0","0","0","4.0","21","9","5","5","2","0","3","6.75","0.00","4.50",".467","69.4 %","56.3 %","50.0 %","11.25","8.78","3.74"
"<a href=""wins.aspx?date=2003-07-18&team=Yankees&dh=0"">2003-07-18</a>","NYY","CLE","1","1","0","0","0","0","6.0","26","7","4","4","0","2","8","12.00","3.00","0.00",".438","55.6 %","62.5 %","0.0 %","6.00","1.36","2.09"
"<a href=""wins.aspx?date=2003-07-10&team=Yankees&dh=0"">2003-07-10</a>","NYY","@CLE","1","0","0","0","0","0","7.0","29","7","2","2","1","2","6","7.71","2.57","1.29",".300","92.1 %","55.0 %","14.3 %","2.57","4.03","3.63"
"<a href=""wins.aspx?date=2003-07-05&team=Yankees&dh=0"">2003-07-05</a>","NYY","BOS","1","0","1","0","0","0","5.1","26","6","8","7","2","2","3","5.06","3.38","3.38",".222","16.1 %","35.0 %","25.0 %","11.81","8.47","5.78"
"<a href=""wins.aspx?date=2003-06-28&team=Yankees&dh=1"">2003-06-28</a>","NYY","NYM","1","1","0","0","0","0","8.0","31","6","1","1","1","1","7","7.88","1.13","1.13",".227","100.0 %","34.8 %","9.1 %","1.13","3.28","3.66"
"<a href=""wins.aspx?date=2003-06-23&team=Yankees&dh=0"">2003-06-23</a>","NYY","@TBD","1","0","1","0","0","0","7.0","27","5","4","4","2","2","6","7.71","2.57","2.57",".176","71.4 %","52.6 %","33.3 %","5.14","5.89","3.42"
"<a href=""wins.aspx?date=2003-06-18&team=Yankees&dh=0"">2003-06-18</a>","NYY","TBD","1","0","0","0","0","0","8.0","27","1","0","0","0","2","9","10.13","2.25","0.00",".063","100.0 %","75.0 %","0.0 %","0.00","1.53","2.08"
"<a href=""wins.aspx?date=2003-06-13&team=Yankees&dh=0"">2003-06-13</a>","NYY","STL","1","1","0","0","0","0","6.2","28","6","2","2","1","2","10","13.50","2.70","1.35",".333","90.9 %","43.8 %","12.5 %","2.70","2.88","2.68"
"<a href=""wins.aspx?date=2003-06-07&team=Yankees&dh=0"">2003-06-07</a>","NYY","@CHC","1","0","1","0","0","0","6.1","23","3","2","2","0","1","5","7.11","1.42","0.00",".176","50.0 %","53.3 %","0.0 %","2.84","1.93","2.85"
"<a href=""wins.aspx?date=2003-06-01&team=Yankees&dh=0"">2003-06-01</a>","NYY","@DET","1","0","0","0","0","0","6.0","28","7","6","4","1","1","6","9.00","1.50","1.50",".300","30.3 %","66.7 %","25.0 %","6.00","3.70","2.50"
"<a href=""wins.aspx?date=2003-05-26&team=Yankees&dh=0"">2003-05-26</a>","NYY","BOS","1","0","1","0","0","0","5.2","29","10","8","8","0","2","9","14.29","3.18","0.00",".556","33.3 %","29.4 %","0.0 %","12.71","0.91","1.94"
"<a href=""wins.aspx?date=2003-05-21&team=Yankees&dh=0"">2003-05-21</a>","NYY","@BOS","1","1","0","0","0","0","6.0","27","9","2","2","1","1","7","10.50","1.50","1.50",".444","93.0 %","26.3 %","12.5 %","3.00","3.36","3.14"
"<a href=""wins.aspx?date=2003-05-16&team=Yankees&dh=0"">2003-05-16</a>","NYY","TEX","1","0","0","0","0","0","5.0","26","6","5","5","0","5","10","18.00","9.00","0.00",".545","54.6 %","18.2 %","0.0 %","9.00","2.03","3.20"
"<a href=""wins.aspx?date=2003-05-10&team=Yankees&dh=0"">2003-05-10</a>","NYY","@OAK","1","1","0","0","0","0","6.2","28","6","1","1","0","1","5","6.75","1.35","0.00",".286","87.5 %","33.3 %","0.0 %","1.35","2.43","4.40"
"<a href=""wins.aspx?date=2003-05-04&team=Yankees&dh=0"">2003-05-04</a>","NYY","OAK","1","0","1","0","0","0","7.0","28","4","2","1","1","2","6","7.71","2.57","1.29",".158","87.0 %","40.0 %","11.1 %","1.29","4.03","4.05"
"<a href=""wins.aspx?date=2003-04-29&team=Yankees&dh=0"">2003-04-29</a>","NYY","SEA","1","0","1","0","0","0","6.0","26","8","4","4","3","1","8","12.00","1.50","4.50",".357","100.0 %","35.3 %","50.0 %","6.00","7.36","2.32"
"<a href=""wins.aspx?date=2003-04-23&team=Yankees&dh=0"">2003-04-23</a>","NYY","@ANA","1","1","0","0","0","0","8.0","30","6","2","2","0","0","6","6.75","0.00","0.00",".250","66.7 %","39.1 %","0.0 %","2.25","1.53","3.35"
"<a href=""wins.aspx?date=2003-04-18&team=Yankees&dh=0"">2003-04-18</a>","NYY","@MIN","1","1","0","0","0","0","6.0","25","5","1","1","0","3","8","12.00","4.50","0.00",".357","87.5 %","46.2 %","0.0 %","1.50","1.86","3.08"
"<a href=""wins.aspx?date=2003-04-13&team=Yankees&dh=0"">2003-04-13</a>","NYY","TBD","1","0","0","0","0","0","7.0","28","7","1","1","0","3","6","7.71","3.86","0.00",".368","90.0 %","57.9 %","0.0 %","1.29","2.60","3.64"
"<a href=""wins.aspx?date=2003-04-06&team=Yankees&dh=0"">2003-04-06</a>","NYY","@TBD","1","1","0","0","0","0","7.0","29","6","4","4","1","3","6","7.71","3.86","1.29",".263","65.8 %","55.0 %","20.0 %","5.14","4.46","3.64"
"<a href=""wins.aspx?date=2003-03-31&team=Yankees&dh=0"">2003-03-31</a>","NYY","@TOR","1","1","0","0","0","0","6.0","23","3","0","0","0","1","5","7.50","1.50","0.00",".188","100.0 %","25.0 %","0.0 %","0.00","2.36","4.31"
